index,country_code,client_name,isp_alias,att_subnets
227,DE,nimbus,Vodafone,64
228,MD,nimbus,amplica,64
229,US,nimbus,BIG BEND,64
230,US,lighthouse,Amazon,64
231,MD,nimbus,amplica,64
232,GB,lighthouse,Amazon,64
233,GB,lighthouse,OVH SAS,64
234,MD,nimbus,amplica,64
235,US,lighthouse,Amazon,64
236,IE,lighthouse,Amazon,64
237,US,teku,AT&T,64
238,US,lighthouse,Amazon,64
239,IE,teku,Amazon,64
240,US,teku,Comcast,64
241,LT,lighthouse,Dedicated servers,64
242,US,lighthouse,Amazon,64
243,GB,nimbus,Hydra Communications Ltd,64
244,NL,teku,"DigitalOcean, LLC",64
245,AT,lighthouse,Nessus GmbH,64
246,HK,prysm,Google LLC,64
247,DE,teku,Amazon,64
248,US,lighthouse,Amazon,64
249,US,lighthouse,Comcast,64
250,GB,teku,Hydra Communications Ltd,64
251,DE,lighthouse,Allnodes Inc,64
252,DE,lighthouse,Hetzner Online GmbH,64
253,US,teku,AT&T,64
254,GB,teku,ONYX,64
255,GB,teku,Hydra Communications Ltd,64
256,IE,teku,Amazon,64
257,DE,prysm,Amazon,64
258,GB,nimbus,OVH SAS,64
259,FR,teku,OVH SAS,64
260,US,lighthouse,Amazon,64
261,IE,prysm,Amazon,64
262,US,lighthouse,Amazon,64
263,IE,lighthouse,Amazon,64
264,DE,teku,Amazon,64
265,US,lighthouse,Charter,64
266,US,nimbus,AT&T,64
267,GB,nimbus,OVH SAS,64
268,US,lighthouse,Amazon,64
269,US,prysm,Amazon,64
270,US,lighthouse,Amazon,64
271,NL,lighthouse,KPN N.V.,64
272,PL,nimbus,OVH SAS,64
273,DE,lighthouse,Hetzner Online GmbH,64
274,US,lighthouse,Amazon,64
275,CH,lighthouse,Amazon,64
276,GB,lighthouse,OVH SAS,64
277,JP,lighthouse,Amazon,64
278,US,nimbus,AT&T,64
279,US,lighthouse,Amazon,64
280,NL,nimbus,FCN,64
281,FI,nimbus,DNA Oyj,64
282,DE,teku,OVH SAS,64
283,SG,prysm,OVH Hosting,64
284,IE,lighthouse,Amazon,64
285,US,prysm,Amazon,64
286,US,lighthouse,Amazon,64
287,US,prysm,AT&T,64
288,US,lighthouse,Amazon,64
289,JP,lighthouse,Amazon,64
290,US,lighthouse,Amazon,64
291,FR,teku,OVH SAS,64
292,SG,lighthouse,Amazon,64
293,HK,prysm,Google LLC,64
294,GB,lighthouse,Leaseweb UK Limited,64
295,GB,nimbus,OVH SAS,64
296,GB,teku,Hydra Communications Ltd,64
297,DE,lighthouse,Amazon,64
298,US,lighthouse,Amazon,64
299,GB,lodestar,OVH SAS,64
300,FR,teku,OVH SAS,64
301,US,lighthouse,Amazon,64
302,US,lighthouse,Amazon,64
303,US,lighthouse,Amazon,64
304,FR,teku,Amazon,64
305,GB,teku,OVH SAS,64
306,DE,lighthouse,Latitude.sh,64
307,CA,lighthouse,OVH SAS,64
308,US,lighthouse,Amazon,64
309,DE,lighthouse,gridscale GmbH,64
310,US,teku,AT&T,64
311,US,lighthouse,Amazon,64
312,CA,lighthouse,OVH SAS,64
313,US,lighthouse,Amazon,64
314,US,lighthouse,OVH SAS,64
315,GB,lighthouse,Amazon,64
316,KR,lighthouse,KORNET,64
317,US,lighthouse,AT&T,64
318,MD,nimbus,amplica,64
319,DE,grandine,Hetzner Online GmbH,64
320,SG,prysm,Amazon,64
321,US,lighthouse,OVH SAS,64
322,US,lighthouse,Amazon,64
323,US,lighthouse,Amazon,64
324,HK,prysm,Google LLC,64
325,SG,lighthouse,Amazon,64
326,JP,lighthouse,Amazon,64
327,HK,prysm,Google LLC,64
328,CZ,nimbus,DataCamp Limited,64
329,US,prysm,Google LLC,64
330,GB,teku,OVH SAS,64
331,US,lighthouse,Amazon,64
332,US,lighthouse,Amazon,64
333,FI,grandine,Hetzner Online GmbH,64
334,FI,lighthouse,Hetzner Online GmbH,64
335,DE,teku,Amazon,64
336,JP,lighthouse,Amazon,64
